Date	TW_I	TW_O	O2	TEMP_IN_Z1	TEMP_IN_Z2	TEMP_IN_Z3	TEMP_IN_Z4
00:08:02 05-03-2018	125.114135742188	128.163192749023	9.7096004486084	132	0	0	0
00:08:17 05-03-2018	125.1416015625	128.657638549805	9.58800029754639	132	0	0	0
00:08:32 05-03-2018	125.169067382813	128.877380371094	9.57660007476807	133	0	0	0
00:08:47 05-03-2018	125.416290283203	129.289413452148	9.61840057373047	133	0	0	0
00:09:02 05-03-2018	125.361358642578	129.344360351563	9.79699993133545	134	0	0	0
00:09:17 05-03-2018	125.333877563477	129.4267578125	10.0515995025635	134	0	0	0
00:09:32 05-03-2018	125.636047363281	129.893737792969	10.2264003753662	134	0	0	0
00:09:47 05-03-2018	125.718444824219	130.03108215332	10.5570011138916	135	0	0	0
00:10:02 05-03-2018	125.553634643555	130.113494873047	10.6254005432129	135	0	0	0
00:10:17 05-03-2018	125.636047363281	130.250839233398	10.7964000701904	135	0	0	0
00:10:32 05-03-2018	125.690979003906	130.38818359375	11.0396003723145	135	0	0	0
00:10:47 05-03-2018	125.718444824219	130.552993774414	11.210599899292	135	0	0	0
00:11:02 05-03-2018	125.60856628418	130.580459594727	11.4082012176514	136	0	0	0
00:11:17 05-03-2018	125.636047363281	130.662872314453	11.5715999603271	136	0	0	0
00:11:32 05-03-2018	125.85578918457	130.992492675781	11.8071994781494	136	0	0	0
00:11:47 05-03-2018	125.800857543945	130.937561035156	11.9326000213623	136	0	0	0
00:12:02 05-03-2018	125.636047363281	130.800216674805	12.1112003326416	136	0	0	0
00:12:17 05-03-2018	125.718444824219	130.965026855469	12.331600189209	136	0	0	0
00:12:32 05-03-2018	125.85578918457	130.992492675781	12.5177993774414	136	0	0	0
00:12:47 05-03-2018	126.020614624023	131.294662475586	12.631799697876	137	0	0	0
00:13:02 05-03-2018	125.883270263672	131.157318115234	12.7875995635986	137	0	0	0
00:13:17 05-03-2018	126.075546264648	131.349594116211	12.9167995452881	137	0	0	0
00:13:32 05-03-2018	126.103012084961	131.541870117188	13.1144008636475	137	0	0	0
00:13:47 05-03-2018	126.240356445313	131.651748657227	13.3006000518799	137	0	0	0
00:14:02 05-03-2018	126.267822265625	131.706695556641	13.395601272583	137	0	0	0
00:14:17 05-03-2018	126.240356445313	131.734161376953	13.5666007995605	137	0	0	0
00:14:32 05-03-2018	126.350234985352	131.844039916992	13.8098011016846	137	0	0	0
00:14:47 05-03-2018	126.267822265625	131.761627197266	13.8098011016846	137	0	0	0
00:15:02 05-03-2018	126.487579345703	131.981384277344	13.9162006378174	137	0	0	0
00:15:17 05-03-2018	126.487579345703	131.953918457031	13.9883995056152	137	0	0	0
00:15:32 05-03-2018	126.707336425781	132.118728637695	14.1974010467529	138	0	0	0
00:15:47 05-03-2018	126.597457885742	132.036315917969	14.2810001373291	138	0	0	0
00:16:02 05-03-2018	126.734802246094	132.365951538086	14.3418006896973	138	0	0	0
00:16:17 05-03-2018	126.707336425781	132.256072998047	14.505199432373	138	0	0	0
00:16:32 05-03-2018	126.789733886719	132.365951538086	14.6420001983643	138	0	0	0
00:16:47 05-03-2018	126.92707824707	132.448348999023	14.6648006439209	138	0	0	0
00:17:02 05-03-2018	126.954559326172	132.53076171875	14.7180004119873	138	0	0	0
00:17:17 05-03-2018	126.982025146484	132.393417358398	14.7902011871338	138	0	0	0
00:17:32 05-03-2018	127.146835327148	132.668106079102	14.8282012939453	138	0	0	0
00:17:47 05-03-2018	127.201782226563	132.777984619141	15.0030002593994	138	0	0	0
00:18:02 05-03-2018	127.311645507813	132.805450439453	15.0790004730225	138	0	0	0
00:18:17 05-03-2018	127.091903686523	132.640640258789	15.1056003570557	138	0	0	0
00:18:32 05-03-2018	127.448989868164	132.997741699219	15.1284008026123	138	0	0	0
00:18:47 05-03-2018	127.421524047852	133.052673339844	15.1512012481689	138	0	0	0
00:19:02 05-03-2018	127.586334228516	133.107604980469	15.1778011322021	138	0	0	0
00:19:17 05-03-2018	127.806091308594	133.272430419922	15.2234001159668	138	0	0	0
00:19:32 05-03-2018	127.64128112793	133.080139160156	15.2690010070801	138	0	0	0
00:19:47 05-03-2018	127.668746948242	133.080139160156	15.2614002227783	138	0	0	0
